Contact,Kontakt
Address,Adresse
Phone,Telefon
Email,Email
"Opening hours","Öffnungszeiten"
"To the products","Zu den Produkten"
"Call us","Ruf uns an"
home-teaser-line-1,"Die Schweizer Gurtzeug- und Zubehör Manufaktur im Engelbergertal."
home-teaser-line-2,"Entwicklung, Vertrieb und Produktion."
home-teaser-line-3,"Made in Grafenort."
"Add to Cart","In den Warenkorb"
"Proceed to Checkout","Zur Kasse"
"Go to Checkout","Zur Kasse"
"View and edit cart","Zum Warenkorb"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Das Passwort muss mindestens %1 der folgenden Zeichenarten enthalten: Klein-, Grossbuchstaben, Zahlen, Spezialzeichen."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimale Länge für dieses Feld ist %1 Zeichen."
"Next","Weiter"
"Item in Cart","Produkt im Warenkorb"
"Items in Cart","Produkte im Warenkorb"
"Select Method",""
"Method Title","Versandart"
"Carrier Title","Spediteur"
"Recently Ordered","Kürzlich bestellt"
"Print Order","Bestellung drucken"
"Pending","In Bearbeitung"
"Complete","Abgeschlossen"
"Order Shipments","Lieferscheine"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Öffnungszeiten: <br /><span class=""no-link"">%store_hours</span>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Wenn Sie Fragen bezüglich der Bestellung haben können Sie uns über folgende Email Adresse kontaktieren <a href=""mailto:%store_email"">%store_email</a>."
"Shipped by","Versendet mit"
"Tracking Number","Sendungsnummber"
"Continue to PayPal","Weiter zu Paypal"
"About X-Dream Fly","Über X-Dream Fly"
"Swiss Dealers","Schweizer Händler & Testcenter"
"International Dealers","Internationale Händler"
"Prices","Preise & Pauschalen"
"Privacy and Data Protection","Privatsphäre und Datenschutz"
"Right of Returns","Widerrufsbelehrung"
"Shipping Costs", "Versandkosten"
"Write","Schreiben Sie"
"Us","uns"
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Bitte geben Sie eine gültige Telefonnummer ein. Beispielsweise 0791234543.
"You added %1 to your <a href=""%2"">shopping cart</a>.", "Sie haben %1 zu ihrem <a href=""%2"">Warenkorb</a> hinzugefügt."
"We found other products you might like!","Verwandte Produkte"
"Read more &#187;","Mehr lesen &#187;"
